Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad
pw_ward_offerings_compendium_intro;A ward answers more than a hand laid on old runes. Bring the right offering, and warded ground may mend, ripen, call down storm, or reveal sky-roads known to the Valkyries. Only offerings known to you are written here.;Оберег отвечает не только на ладонь, положенную на старые руны. Верное подношение может залечить защищённую землю, приблизить урожай, обрушить бурю или приоткрыть небесные пути, ведомые валькириям. Здесь записаны только известные тебе подношения.;Ein Wächterstein antwortet auf mehr als eine Hand auf alten Runen. Bring die richtige Opfergabe, und geschützter Boden kann heilen, reifen, Sturm herabrufen oder Himmelswege enthüllen, die den Walküren bekannt sind. Nur dir bekannte Opfergaben stehen hier.;Una estatua guardiana responde a algo más que una mano sobre runas antiguas. Trae la ofrenda correcta, y la tierra protegida puede repararse, madurar, llamar la tormenta o revelar caminos del cielo conocidos por las valquirias. Aquí solo figuran las ofrendas que conoces.;Strážce odpovídá na víc než jen na dlaň položenou na staré runy. Přines správnou obětinu a chráněná země se může zahojit, dozrát, přivolat bouři nebo odhalit nebeské stezky známé valkýrám. Zapsané jsou zde jen obětiny, které znáš.;Een verzegeling antwoordt op meer dan een hand op oude runen. Breng het juiste offer, en beschermde grond kan herstellen, rijpen, storm afroepen of luchtwegen onthullen die de valkyries kennen. Alleen offers die je kent staan hier.;Une balise répond à plus qu’une main posée sur de vieilles runes. Apporte la bonne offrande, et la terre protégée pourra se réparer, mûrir, appeler l’orage ou révéler les routes du ciel connues des Valkyries. Seules les offrandes que tu connais sont inscrites ici.;守護石は古いルーンに置かれた手だけでなく、さらなる願いにも応える。正しい捧げ物を持てば、守られた地は癒え、実り、嵐を呼び、ヴァルキリーだけが知る空の道を示すことがある。ここにはあなたが知る捧げ物だけが記されている。;경비석은 오래된 룬에 얹은 손 이상의 부름에 응답합니다. 알맞은 공물을 바치면 보호받는 땅은 회복되고, 익어 가고, 폭풍을 부르며, 발키리들이 아는 하늘길을 드러낼 수 있습니다. 당신이 아는 공물만 여기에 기록됩니다.;Kamień strażniczy odpowiada na więcej niż dłoń położoną na starych runach. Przynieś właściwą ofiarę, a chroniona ziemia może się zagoić, dojrzeć, przywołać burzę albo odsłonić niebiańskie drogi znane Walkiriom. Zapisano tu tylko ofiary, które znasz.;Uma proteção responde a mais do que uma mão sobre runas antigas. Traga a oferenda certa, e a terra protegida pode se reparar, amadurecer, chamar a tempestade ou revelar caminhos do céu conhecidos pelas Valquírias. Só as oferendas que você conhece estão escritas aqui.;Nazarlık eski rünlere konan bir elden fazlasına cevap verir. Doğru adağı getir, korunan toprak iyileşebilir, olgunlaşabilir, fırtına çağırabilir ya da Valkyrie’lerin bildiği gök yollarını gösterebilir. Burada yalnızca bildiğin adaklar yazılıdır.;Оберіг відповідає не лише на долоню, покладену на старі руни. Належне підношення може зцілити захищену землю, наблизити врожай, прикликати бурю або відкрити небесні шляхи, відомі валькіріям. Тут записані лише відомі вам підношення.;守护石回应的不只是落在古老符文上的手。带来正确的供品，受护之地或会修复、成熟、召下风暴，或显露女武神知晓的天路。这里只记录你已知的供品。;保護石回應的不只是落在古老符文上的手。帶來正確的供品，受護之地或會修復、成熟、召下風暴，或顯露女武神知曉的天路。這裡只記錄你已知的供品。
pw_ward_offerings_taxi_return;The Valkyrie will bring you home when the hour to return comes.;Валькирия возвратит тебя домой, когда придёт час возвращения.;Die Walküre bringt dich heim, wenn die Stunde der Rückkehr kommt.;La valquiria te llevará a casa cuando llegue la hora de volver.;Valkýra tě odnese domů, až přijde hodina návratu.;De valkyrie brengt je thuis wanneer het uur van terugkeer komt.;La Valkyrie te ramènera chez toi quand viendra l’heure du retour.;帰る時が来れば、ヴァルキリーがあなたを家へ運ぶ。;돌아갈 시간이 오면 발키리가 당신을 집으로 데려갑니다.;Walkiria zaniesie cię do domu, gdy nadejdzie godzina powrotu.;A Valquíria levará você para casa quando chegar a hora do retorno.;Dönüş vakti geldiğinde Valkyrie seni eve götürür.;Валькірія поверне вас додому, коли настане час повернення.;归返之时到来，女武神会带你回家。;歸返之時到來，女武神會帶你回家。
pw_ward_offerings_taxi_oneway;The Valkyrie flies only one way. The sky-road will not lead you back.;Валькирия летит только в одну сторону. Небесный путь не приведёт тебя назад.;Die Walküre fliegt nur in eine Richtung. Der Himmelsweg führt dich nicht zurück.;La valquiria vuela solo en una dirección. El camino del cielo no te traerá de vuelta.;Valkýra letí jen jedním směrem. Nebeská stezka tě nevrátí zpět.;De valkyrie vliegt maar één kant op. De luchtweg brengt je niet terug.;La Valkyrie ne vole que dans un sens. La route du ciel ne te ramènera pas.;ヴァルキリーの飛行は片道だけ。空の道はあなたを連れ戻さない。;발키리는 한 방향으로만 납니다. 하늘길은 당신을 데려오지 않습니다.;Walkiria leci tylko w jedną stronę. Niebiańska droga nie sprowadzi cię z powrotem.;A Valquíria voa apenas em uma direção. O caminho do céu não trará você de volta.;Valkyrie yalnızca tek yöne uçar. Gök yolu seni geri getirmez.;Валькірія летить лише в один бік. Небесний шлях не поверне вас назад.;女武神只飞单程。天路不会带你回来。;女武神只飛單程。天路不會帶你回來。
pw_tutorial_guardstone_extra;A ward can be more than a lock on doors. With the proper rites and chosen laws, it can bind nearby wards into wider protected ground, watch over a homestead while its keepers are away, and answer offerings with mending, growth, storm, or stranger ways of travel.;Оберег может быть не только замком для дверей. С нужными обрядами и выбранными законами он связывает соседние обереги в большую защищённую землю, присматривает за домом, пока хозяев нет рядом, и отвечает на подношения починкой, ростом, бурей или неведомыми путями странствий.;Ein Wächterstein kann mehr sein als ein Schloss an Türen. Mit den richtigen Riten und gewählten Gesetzen bindet er nahe Wächtersteine zu weiterem geschütztem Boden, wacht über ein Heim, solange seine Hüter fort sind, und antwortet auf Opfergaben mit Ausbesserung, Wachstum, Sturm oder fremderen Wegen des Reisens.;Una estatua guardiana puede ser más que un cerrojo en las puertas. Con los ritos adecuados y las leyes elegidas, puede unir estatuas guardianas cercanas en una tierra protegida más amplia, velar por un hogar mientras sus dueños están lejos y responder a las ofrendas con reparación, crecimiento, tormenta o formas más extrañas de viaje.;Strážce může být víc než zámek na dveřích. Se správnými rituály a zvolenými zákony spojí blízké strážce do širší chráněné země, dohlédne na usedlost, když jsou její hospodáři pryč, a odpoví na obětiny opravou, růstem, bouří nebo podivnějšími cestami.;Een verzegeling kan meer zijn dan een slot op deuren. Met de juiste riten en gekozen wetten kan ze nabije verzegelingen binden tot groter beschermd gebied, waken over een erf wanneer de bewoners weg zijn, en offers beantwoorden met herstel, groei, storm of vreemdere wegen van reizen.;Une balise peut être plus qu’un verrou sur les portes. Avec les rites appropriés et les lois choisies, elle peut lier les balises proches en un territoire protégé plus vaste, veiller sur un foyer quand ses maîtres sont absents et répondre aux offrandes par la réparation, la croissance, l’orage ou d’étranges voies de voyage.;守護石は扉の錠以上のものになり得る。正しい儀式と選ばれた掟があれば、近くの守護石を結び広い保護地を作り、主が留守の家を見守り、修復、成長、嵐、あるいは奇妙な旅路で捧げ物に応える。;경비석은 문을 잠그는 장치 이상이 될 수 있습니다. 올바른 의식과 선택한 법도가 있으면 가까운 경비석을 더 넓은 보호지로 묶고, 주인이 떠난 집터를 지키며, 공물에 수리, 성장, 폭풍, 혹은 더 기묘한 여행길로 응답합니다.;Kamień strażniczy może być czymś więcej niż zamkiem w drzwiach. Przy właściwych rytuałach i wybranych prawach potrafi połączyć pobliskie kamienie strażnicze w większą chronioną ziemię, czuwać nad domostwem pod nieobecność gospodarzy i odpowiadać na ofiary naprawą, wzrostem, burzą albo dziwniejszymi drogami podróży.;Uma proteção pode ser mais do que uma trava em portas. Com os ritos certos e as leis escolhidas, ela pode ligar proteções próximas em uma terra protegida maior, vigiar uma morada enquanto seus donos estão longe e responder a oferendas com reparo, crescimento, tempestade ou modos mais estranhos de viajar.;Nazarlık kapılardaki kilitten fazlası olabilir. Doğru ayinler ve seçilmiş yasalarla yakındaki nazarlıkları daha geniş korunan toprağa bağlayabilir, sahipleri uzaktayken yuvayı gözetebilir ve adaklara onarım, büyüme, fırtına ya da daha tuhaf yolculuklarla cevap verebilir.;Оберіг може бути не лише замком для дверей. Із належними обрядами й обраними законами він зв’язує сусідні обереги в ширшу захищену землю, пильнує оселю, поки господарів немає поруч, і відповідає на підношення ремонтом, ростом, бурею або дивнішими шляхами мандрів.;守护石不只是门锁。通过合适的仪式和选定的律令，它能把附近的守护石联结成更广的受护之地，在主人离开时看守家园，并以修复、生长、风暴或更奇异的旅途回应供品。;保護石不只是門鎖。透過合適的儀式和選定的律令，它能把附近的保護石聯結成更廣的受護之地，在主人離開時看守家園，並以修復、生長、風暴或更奇異的旅途回應供品。
pw_se_ward_taxi_status;Valkyrie passage;Путь валькирии;Walkürenpassage;Pasaje de valquiria;Cesta valkýry;Valkyriepassage;Passage de Valkyrie;ヴァルキリーの道;발키리의 길;Szlak Walkirii;Passagem da Valquíria;Valkyrie geçidi;Шлях валькірії;女武神通路;女武神通路
pw_se_ward_taxi_flight_tooltip;A Valkyrie carries you along the sky-road. Press $1 to let go, but she will not take you up again.;Валькирия несёт тебя по небесной дороге. Нажми $1, чтобы отпустить её, но снова она тебя не подхватит.;Eine Walküre trägt dich über den Himmelsweg. Drücke $1, um loszulassen, doch sie nimmt dich nicht erneut auf.;Una valquiria te lleva por el camino del cielo. Pulsa $1 para soltarte, pero no volverá a recogerte.;Valkýra tě nese po nebeské stezce. Stiskni $1, abys ji pustil, ale znovu tě nenabere.;Een valkyrie draagt je over de luchtweg. Druk op $1 om los te laten, maar ze neemt je niet opnieuw mee.;Une Valkyrie te porte sur la route du ciel. Appuie sur $1 pour lâcher prise, mais elle ne te reprendra pas.;ヴァルキリーが空の道を運んでいる。$1で手を放せるが、彼女は二度と拾い上げない。;발키리가 당신을 하늘길로 나릅니다. $1 키를 눌러 손을 놓을 수 있지만, 다시 태워 주지는 않습니다.;Walkiria niesie cię niebiańską drogą. Naciśnij $1, aby puścić, lecz drugi raz cię nie podejmie.;Uma Valquíria leva você pelo caminho do céu. Pressione $1 para soltar, mas ela não buscará você de novo.;Bir Valkyrie seni gök yolunda taşıyor. Bırakmak için $1 tuşuna bas, fakat seni yeniden almaz.;Валькірія несе вас небесною дорогою. Натисніть $1, щоб відпустити її, але вдруге вона вас не підхопить.;女武神正沿天路载着你。按 $1 可以松手，但她不会再次接住你。;女武神正沿天路載著你。按 $1 可以鬆手，但她不會再次接住你。
pw_se_ward_taxi_return_tooltip;The way home remains marked. When this blessing fades, the Valkyrie will carry you back. Starting another passage breaks the mark.;Дорога домой ещё отмечена. Когда благословение угаснет, валькирия отнесёт тебя обратно. Новый путь разрушит эту метку.;Der Weg nach Hause bleibt gezeichnet. Wenn dieser Segen schwindet, trägt die Walküre dich zurück. Ein neuer Weg bricht das Zeichen.;El camino a casa sigue marcado. Cuando esta bendición se desvanezca, la valquiria te llevará de vuelta. Otro pasaje romperá la marca.;Cesta domů zůstává vyznačená. Až toto požehnání vyprchá, valkýra tě odnese zpět. Nová cesta značku zlomí.;De weg naar huis blijft gemarkeerd. Wanneer deze zegen vervaagt, draagt de valkyrie je terug. Een nieuwe passage verbreekt het teken.;Le chemin du foyer reste marqué. Quand cette bénédiction s’éteindra, la Valkyrie te ramènera. Un autre passage brisera la marque.;家への道はまだ印されている。この祝福が消える時、ヴァルキリーがあなたを連れ戻す。別の道を開けば印は破れる。;집으로 가는 길은 아직 표시되어 있습니다. 이 축복이 사라지면 발키리가 당신을 데려갑니다. 다른 길을 열면 그 표식은 끊어집니다.;Droga do domu pozostaje wyznaczona. Gdy to błogosławieństwo zgaśnie, Walkiria zaniesie cię z powrotem. Inny szlak złamie znak.;O caminho de casa continua marcado. Quando esta bênção se apagar, a Valquíria levará você de volta. Outra passagem romperá a marca.;Eve giden yol hâlâ işaretli. Bu kutsama solduğunda Valkyrie seni geri taşır. Başka bir geçit işareti bozar.;Дорога додому ще позначена. Коли це благословення згасне, валькірія віднесе вас назад. Новий шлях зламає цю мітку.;回家的路仍被标记。当这份祝福消散时，女武神会带你返回。开启另一条通路会打破标记。;回家的路仍被標記。當這份祝福消散時，女武神會帶你返回。開啟另一條通路會打破標記。
pw_se_ward_taxi_waiting_outbound_tooltip;The offering has been accepted. A Valkyrie will arrive soon.;Подношение принято. Валькирия скоро прилетит.;Die Opfergabe wurde angenommen. Eine Walküre trifft bald ein.;La ofrenda ha sido aceptada. Una valquiria llegará pronto.;Obětina byla přijata. Valkýra brzy přiletí.;Het offer is aanvaard. Een valkyrie komt spoedig.;L’offrande a été acceptée. Une Valkyrie arrivera bientôt.;捧げ物は受け入れられた。ヴァルキリーがまもなく来る。;공물이 받아들여졌습니다. 곧 발키리가 도착합니다.;Ofiara została przyjęta. Walkiria wkrótce przybędzie.;A oferenda foi aceita. Uma Valquíria chegará em breve.;Adak kabul edildi. Bir Valkyrie yakında gelir.;Підношення прийнято. Валькірія скоро прилетить.;供品已被接受。女武神很快会到来。;供品已被接受。女武神很快會到來。
pw_se_ward_taxi_waiting_retry_tooltip;The Valkyrie waits until you are ready to fly.;Валькирия ждёт, пока ты будешь готов к полёту.;Die Walküre wartet, bis du bereit zum Flug bist.;La valquiria espera hasta que estés listo para volar.;Valkýra čeká, dokud nebudeš připraven k letu.;De valkyrie wacht tot je klaar bent om te vliegen.;La Valkyrie attend que tu sois prêt à voler.;ヴァルキリーは、あなたが飛ぶ準備を整えるまで待っている。;발키리는 당신이 날 준비가 될 때까지 기다립니다.;Walkiria czeka, aż będziesz gotów do lotu.;A Valquíria espera até você estar pronto para voar.;Valkyrie uçmaya hazır olana kadar bekler.;Валькірія чекає, доки ви будете готові до польоту.;女武神会等到你准备好飞行为止。;女武神會等到你準備好飛行為止。
pw_se_ward_taxi_falling_tooltip;The Valkyrie has released you. Her blessing slows the fall until you touch land or water.;Валькирия отпустила тебя. Её благословение замедляет падение, пока ты не коснёшься земли или воды.;Die Walküre hat dich freigegeben. Ihr Segen verlangsamt den Fall, bis du Land oder Wasser berührst.;La valquiria te ha soltado. Su bendición ralentiza la caída hasta que toques tierra o agua.;Valkýra tě pustila. Její požehnání zpomalí pád, dokud se nedotkneš země nebo vody.;De valkyrie heeft je losgelaten. Haar zegen vertraagt de val tot je land of water raakt.;La Valkyrie t’a relâché. Sa bénédiction ralentit la chute jusqu’à ce que tu touches terre ou eau.;ヴァルキリーはあなたを放した。その祝福が、地面か水に触れるまで落下を遅らせる。;발키리가 당신을 놓았습니다. 그녀의 축복은 땅이나 물에 닿을 때까지 추락을 늦춥니다.;Walkiria cię wypuściła. Jej błogosławieństwo spowalnia upadek, aż dotkniesz ziemi lub wody.;A Valquíria soltou você. A bênção dela desacelera a queda até você tocar terra ou água.;Valkyrie seni bıraktı. Kutsaması toprağa ya da suya değene kadar düşüşü yavaşlatır.;Валькірія відпустила вас. Її благословення сповільнює падіння, доки ви не торкнетеся землі або води.;女武神放开了你。她的祝福会减缓坠落，直到你触及陆地或水面。;女武神放開了你。她的祝福會減緩墜落，直到你觸及陸地或水面。
pw_msg_valkyrie_coming;A Valkyrie will come soon;Скоро прилетит валькирия;Eine Walküre kommt bald;Una valquiria llegará pronto;Valkýra brzy přiletí;Een valkyrie komt spoedig;Une Valkyrie arrivera bientôt;ヴァルキリーがまもなく来る;곧 발키리가 옵니다;Walkiria wkrótce przybędzie;Uma Valquíria chegará em breve;Bir Valkyrie yakında gelir;Валькірія скоро прилетить;女武神很快会到来;女武神很快會到來
pw_msg_taxi_stopped;The Valkyrie passage was broken;Путь валькирии оборвался;Die Walkürenpassage wurde gebrochen;El pasaje de la valquiria se ha roto;Cesta valkýry byla přerušena;De valkyriepassage is verbroken;Le passage de la Valkyrie s’est rompu;ヴァルキリーの道は途切れた;발키리의 길이 끊어졌습니다;Szlak Walkirii został przerwany;A passagem da Valquíria foi rompida;Valkyrie geçidi bozuldu;Шлях валькірії обірвався;女武神通路已断开;女武神通路已斷開
pw_msg_taxi_already_active;A Valkyrie passage is already open;Путь валькирии уже открыт;Eine Walkürenpassage ist bereits offen;Ya hay un pasaje de valquiria abierto;Cesta valkýry je už otevřená;Er is al een valkyriepassage open;Un passage de Valkyrie est déjà ouvert;ヴァルキリーの道はすでに開いている;발키리의 길이 이미 열려 있습니다;Szlak Walkirii jest już otwarty;Uma passagem da Valquíria já está aberta;Bir Valkyrie geçidi zaten açık;Шлях валькірії уже відкрито;女武神通路已经开启;女武神通路已經開啟
pw_msg_taxi_waiting;The Valkyrie is waiting;Валькирия ждёт;Die Walküre wartet;La valquiria está esperando;Valkýra čeká;De valkyrie wacht;La Valkyrie attend;ヴァルキリーが待っている;발키리가 기다리고 있습니다;Walkiria czeka;A Valquíria está esperando;Valkyrie bekliyor;Валькірія чекає;女武神正在等待;女武神正在等待
pw_msg_taxi_return_wait_expired;The Valkyrie waited in vain. The way back is yours to find.;Валькирия ждала напрасно. Обратную дорогу придётся искать самому.;Die Walküre wartete vergebens. Den Rückweg musst du selbst finden.;La valquiria esperó en vano. El camino de regreso deberás encontrarlo tú.;Valkýra čekala marně. Cestu zpět si musíš najít sám.;De valkyrie wachtte tevergeefs. De weg terug moet je zelf vinden.;La Valkyrie a attendu en vain. Le chemin du retour est à toi de trouver.;ヴァルキリーは空しく待った。帰り道は自ら見つけるほかない。;발키리는 헛되이 기다렸습니다. 돌아갈 길은 스스로 찾아야 합니다.;Walkiria czekała na próżno. Drogę powrotną musisz odnaleźć sam.;A Valquíria esperou em vão. O caminho de volta cabe a você encontrar.;Valkyrie boşuna bekledi. Dönüş yolunu kendin bulmalısın.;Валькірія чекала марно. Зворотну дорогу доведеться знайти самотужки.;女武神空等了一场。归路只能由你自己寻找。;女武神空等了一場。歸路只能由你自己尋找。
pw_msg_taxi_complete;The Valkyrie passage is complete;Путь валькирии завершён;Die Walkürenpassage ist vollendet;El pasaje de la valquiria se ha completado;Cesta valkýry je dokončena;De valkyriepassage is voltooid;Le passage de la Valkyrie est achevé;ヴァルキリーの道は完了した;발키리의 길이 끝났습니다;Szlak Walkirii dobiegł końca;A passagem da Valquíria está completa;Valkyrie geçidi tamamlandı;Шлях валькірії завершено;女武神通路已完成;女武神通路已完成
pw_ward_settings_section_access;Access;Доступ;Zugriff;Acceso;Přístup;Toegang;Accès;アクセス;접근 권한;Dostęp;Acesso;Erişim;Доступ;访问权限;存取權限
pw_ward_settings_access;Access settings;Настройки доступа;Zugriffseinstellungen;Ajustes de acceso;Nastavení přístupu;Toegangsinstellingen;Paramètres d’accès;アクセス設定;접근 권한 설정;Ustawienia dostępu;Configurações de acesso;Erişim ayarları;Налаштування доступу;访问权限设置;存取權限設定
pw_ward_settings_access_title;Ward access settings;Настройки доступа к варду;Zugriffseinstellungen des Wächters;Ajustes de acceso del guardián;Nastavení přístupu k ochraně;Toegangsinstellingen van de ward;Paramètres d’accès de la balise;守護石のアクセス設定;수호석 접근 권한 설정;Ustawienia dostępu do strażnika;Configurações de acesso da proteção;Muhafız erişim ayarları;Налаштування доступу до варда;守护石访问权限设置;守護石存取權限設定
pw_ward_settings_permit_everyone;Permit everyone;Разрешить всем;Allen Zugriff erlauben;Permitir a todos;Povolit všem;Iedereen toestaan;Autoriser tout le monde;全員を許可;모두 허용;Zezwól wszystkim;Permitir todos;Herkese izin ver;Дозволити всім;允许所有人;允許所有人
pw_ward_guild_section;Guild access;Доступ гильдии;Gildenzugriff;Acceso del gremio;Přístup cechu;Gildetoegang;Accès de la guilde;ギルドアクセス;길드 접근 권한;Dostęp gildii;Acesso da guilda;Lonca erişimi;Доступ гільдії;公会访问权限;公會存取權限
pw_ward_guild_enabled;Enable guild access;Включить доступ гильдии;Gildenzugriff aktivieren;Activar acceso del gremio;Povolit přístup cechu;Gildetoegang inschakelen;Activer l’accès de la guilde;ギルドアクセスを有効化;길드 접근 허용;Włącz dostęp gildii;Ativar acesso da guilda;Lonca erişimini etkinleştir;Увімкнути доступ гільдії;启用公会访问;啟用公會存取
pw_ward_guild_bound;Bound guild;Привязанная гильдия;Gebundene Gilde;Gremio vinculado;Připojený cech;Gekoppeld gilde;Guilde associée;紐付けられたギルド;연결된 길드;Powiązana gildia;Guilda vinculada;Bağlı lonca;Прив’язана гільдія;已绑定公会;已綁定公會
pw_ward_guild_not_bound;Not bound;Не привязана;Nicht gebunden;Sin vincular;Nepřipojeno;Niet gekoppeld;Non associée;未設定;연결되지 않음;Niepowiązana;Não vinculada;Bağlı değil;Не прив’язана;未绑定;未綁定
pw_ward_guild_bind_current;Bind guild;Привязать гильдию;Gilde binden;Vincular gremio;Připojit cech;Gilde koppelen;Associer la guilde;ギルドを紐付け;길드 연결;Powiąż gildię;Vincular guilda;Lonca bağla;Прив’язати гільдію;绑定公会;綁定公會
pw_ward_guild_not_found;Guild not found;Гильдия не найдена;Gilde nicht gefunden;Gremio no encontrado;Cech nenalezen;Gilde niet gevonden;Guilde introuvable;ギルドが見つかりません;길드를 찾을 수 없음;Nie znaleziono gildii;Guilda não encontrada;Lonca bulunamadı;Гільдію не знайдено;未找到公会;找不到公會
pw_ward_guild_unbind;Unbind guild;Отвязать гильдию;Gilde lösen;Desvincular gremio;Odpojit cech;Gilde ontkoppelen;Dissocier la guilde;ギルドの紐付けを解除;길드 연결 해제;Odłącz gildię;Desvincular guilda;Lonca bağını kaldır;Відв’язати гільдію;解除公会绑定;解除公會綁定
pw_ward_guild_note;Members of the bound guild have normal permitted access while they remain in that guild.;Участники привязанной гильдии получают обычный разрешённый доступ, пока состоят в ней.;Mitglieder der gebundenen Gilde haben normalen erlaubten Zugriff, solange sie der Gilde angehören.;Los miembros del gremio vinculado tienen acceso permitido normal mientras permanezcan en él.;Členové připojeného cechu mají běžný povolený přístup, dokud v cechu zůstávají.;Leden van het gekoppelde gilde hebben normale toegestane toegang zolang ze lid blijven.;Les membres de la guilde associée disposent de l’accès autorisé normal tant qu’ils en font partie.;紐付けられたギルドの所属中は、通常の許可済みアクセスが与えられる。;연결된 길드의 구성원은 해당 길드에 속해 있는 동안 일반 허용 접근 권한을 얻습니다.;Członkowie powiązanej gildii mają zwykły dozwolony dostęp, dopóki do niej należą.;Membros da guilda vinculada têm acesso permitido normal enquanto permanecerem nela.;Bağlı loncanın üyeleri, loncada kaldıkları sürece normal izinli erişime sahip olur.;Учасники прив’язаної гільдії мають звичайний дозволений доступ, доки залишаються в ній.;已绑定公会的成员在仍属于该公会期间拥有普通许可访问权限。;已綁定公會的成員在仍屬於該公會期間擁有一般許可存取權限。
pw_ward_guild_updated;Ward guild access updated;Ward: доступ гильдии обновлён;Gildenzugriff des Wächters aktualisiert;Acceso del gremio actualizado;Přístup cechu k ochraně byl aktualizován;Gildetoegang van de ward bijgewerkt;Accès de guilde de la balise mis à jour;守護石のギルドアクセスを更新した;수호석 길드 접근 권한이 갱신되었습니다;Zaktualizowano dostęp gildii do strażnika;Acesso da guilda à proteção atualizado;Muhafız lonca erişimi güncellendi;Доступ гільдії до варда оновлено;守护石公会访问权限已更新;守護石公會存取權限已更新
pw_ward_guild_no_guild;You are not a member of a guild;Ты не состоишь в гильдии;Du bist kein Mitglied einer Gilde;No perteneces a ningún gremio;Nejsi členem žádného cechu;Je bent geen lid van een gilde;Tu ne fais partie d’aucune guilde;ギルドに所属していない;길드에 속해 있지 않습니다;Nie należysz do gildii;Você não pertence a uma guilda;Bir loncanın üyesi değilsin;Ви не перебуваєте в гільдії;你不属于任何公会;你不屬於任何公會
pw_ward_guild_too_far;You are too far from the ward;Ты слишком далеко от варда;Du bist zu weit vom Wächter entfernt;Estás demasiado lejos del guardián;Jsi příliš daleko od ochrany;Je bent te ver van de ward;Tu es trop loin de la balise;守護石から離れすぎている;수호석에서 너무 멀리 떨어져 있습니다;Jesteś za daleko od strażnika;Você está longe demais da proteção;Muhafızdan çok uzaktasın;Ви надто далеко від варда;你离守护石太远;你離守護石太遠
pw_ward_guild_unavailable;Guild access is unavailable;Доступ гильдии недоступен;Gildenzugriff ist nicht verfügbar;El acceso del gremio no está disponible;Přístup cechu není dostupný;Gildetoegang is niet beschikbaar;L’accès de guilde est indisponible;ギルドアクセスを利用できない;길드 접근 권한을 사용할 수 없습니다;Dostęp gildii jest niedostępny;O acesso da guilda não está disponível;Lonca erişimi kullanılamıyor;Доступ гільдії недоступний;公会访问权限不可用;公會存取權限無法使用
pw_ward_settings_permitted_players;Permitted players;Разрешённые игроки;Zugelassene Spieler;Jugadores autorizados;Povolení hráči;Toegestane spelers;Joueurs autorisés;許可されたプレイヤー;허용된 플레이어;Dozwoleni gracze;Jogadores permitidos;İzinli oyuncular;Дозволені гравці;已允许的玩家;已允許的玩家
pw_ward_permitted_title;Ward permitted players;Разрешённые игроки варда;Zugelassene Spieler des Wächters;Jugadores autorizados del guardián;Povolení hráči ochrany;Toegestane spelers van de ward;Joueurs autorisés de la balise;守護石の許可プレイヤー;수호석 허용 플레이어;Gracze dozwoleni przez strażnika;Jogadores permitidos pela proteção;Muhafızın izinli oyuncuları;Дозволені гравці варда;守护石允许的玩家;守護石允許的玩家
pw_ward_permitted_add_section;Add online player;Добавить игрока онлайн;Online-Spieler hinzufügen;Añadir jugador en línea;Přidat online hráče;Online speler toevoegen;Ajouter un joueur en ligne;オンラインプレイヤーを追加;온라인 플레이어 추가;Dodaj gracza online;Adicionar jogador online;Çevrimiçi oyuncu ekle;Додати гравця онлайн;添加在线玩家;新增線上玩家
pw_ward_permitted_online_player;Player nickname;Ник игрока;Spielername;Nombre del jugador;Jméno hráče;Spelersnaam;Nom du joueur;プレイヤー名;플레이어 이름;Nazwa gracza;Nome do jogador;Oyuncu adı;Ім’я гравця;玩家昵称;玩家暱稱
pw_ward_permitted_placeholder;Player name;Имя игрока;Spielername;Nombre del jugador;Jméno hráče;Spelersnaam;Nom du joueur;プレイヤー名;플레이어 이름;Nazwa gracza;Nome do jogador;Oyuncu adı;Ім’я гравця;玩家名称;玩家名稱
pw_ward_permitted_add;Add player;Добавить игрока;Spieler hinzufügen;Añadir jugador;Přidat hráče;Speler toevoegen;Ajouter le joueur;プレイヤーを追加;플레이어 추가;Dodaj gracza;Adicionar jogador;Oyuncu ekle;Додати гравця;添加玩家;新增玩家
pw_ward_permitted_add_note;Only online players can be added. Existing permitted players can be removed while offline.;Добавить можно только игрока онлайн. Уже разрешённого игрока можно удалить, даже если он не в сети.;Nur Online-Spieler können hinzugefügt werden. Bereits zugelassene Spieler können auch offline entfernt werden.;Solo se pueden añadir jugadores en línea. Los jugadores ya autorizados pueden eliminarse aunque estén desconectados.;Přidat lze pouze online hráče. Stávající povolené hráče lze odebrat i offline.;Alleen online spelers kunnen worden toegevoegd. Bestaande toegestane spelers kunnen ook offline worden verwijderd.;Seuls les joueurs en ligne peuvent être ajoutés. Les joueurs déjà autorisés peuvent être retirés même hors ligne.;追加できるのはオンラインのプレイヤーだけです。許可済みのプレイヤーはオフラインでも削除できます。;온라인 플레이어만 추가할 수 있습니다. 이미 허용된 플레이어는 오프라인이어도 제거할 수 있습니다.;Dodać można tylko graczy online. Już dozwolonych graczy można usunąć także wtedy, gdy są offline.;Somente jogadores online podem ser adicionados. Jogadores já permitidos podem ser removidos mesmo offline.;Yalnızca çevrimiçi oyuncular eklenebilir. Mevcut izinli oyuncular çevrimdışıyken de kaldırılabilir.;Додати можна лише гравця онлайн. Уже дозволеного гравця можна видалити, навіть якщо він не в мережі.;只能添加在线玩家。已允许的玩家即使离线也可以移除。;只能新增線上玩家。已允許的玩家即使離線也可以移除。
